USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
VT	5002318550	01462085	Duxbury town	A	111285311	528987	42.968	0.204	44.299184	-72.847232                                                                                                                
VT	5002321925	01462087	East Montpelier town	A	82227291	659922	31.748	0.255	44.296123	-72.506921                                                                                                         
VT	5002325825	01462096	Fayston town	A	94551006	22418	36.506	0.009	44.222147	-72.885238                                                                                                                  
VT	5002343600	01462144	Marshfield town	A	112174794	1093674	43.311	0.422	44.295947	-72.346185                                                                                                            
VT	5002344500	01462147	Middlesex town	A	102280224	789582	39.491	0.305	44.318999	-72.631949                                                                                                              
VT	5002346000	01462152	Montpelier city	F	26048126	504949	10.057	0.195	44.266448	-72.571524                                                                                                              
VT	5002346225	01462153	Moretown town	A	102857700	925865	39.714	0.357	44.256599	-72.710667                                                                                                               
VT	5002350275	01462163	Northfield town	A	115595913	334771	44.632	0.129	44.147616	-72.691229                                                                                                             
VT	5002355825	01462175	Plainfield town	A	54396776	215996	21.003	0.083	44.252375	-72.416559                                                                                                              
VT	5002360625	01462190	Roxbury town	A	108000616	124100	41.699	0.048	44.065108	-72.729625                                                                                                                
VT	5002375325	01462237	Waitsfield town	A	66688119	460997	25.748	0.178	44.180754	-72.797065                                                                                                              
VT	5002376525	01462242	Warren town	A	103815929	130707	40.084	0.05	44.112526	-72.87403                                                                                                                   
VT	5002376975	01462244	Waterbury town	A	124716290	4012574	48.153	1.549	44.388173	-72.739582                                                                                                             
VT	5002385525	01462270	Woodbury town	A	97701026	4098049	37.723	1.582	44.458085	-72.379129                                                                                                               
VT	5002386125	01462273	Worcester town	A	99860093	445145	38.556	0.172	44.424714	-72.595374                                                                                                               
VT	5002501900	01462028	Athens town	A	36137937	197266	13.953	0.076	43.118002	-72.587014                                                                                                                  
VT	5002507900	01462049	Brattleboro town	A	83023847	1515018	32.056	0.585	42.860187	-72.633078                                                                                                            
VT	5002509475	01462055	Brookline town	A	33290178	287232	12.853	0.111	43.025456	-72.611255                                                                                                               
VT	5002517875	01462083	Dover town	A	92639357	224249	35.768	0.087	42.96549	-72.847107                                                                                                                    
VT	5002518325	01462084	Dummerston town	A	79502081	622704	30.696	0.24	42.922538	-72.599427                                                                                                               
VT	5002528900	01462105	Grafton town	A	98773085	259776	38.137	0.1	43.181943	-72.616699                                                                                                                   
VT	5002530925	01462112	Guilford town	A	102422834	337542	39.546	0.13	42.773962	-72.618692                                                                                                                
VT	5002531150	01462113	Halifax town	A	102868738	249724	39.718	0.096	42.783997	-72.748196                                                                                                                
VT	5002536175	01462126	Jamaica town	A	126769896	1387234	48.946	0.536	43.102673	-72.820311                                                                                                               
VT	5002540225	01462136	Londonderry town	A	91862173	1302830	35.468	0.503	43.201068	-72.798579                                                                                                            
VT	5002543375	01462143	Marlboro town	A	104503689	984267	40.349	0.38	42.876478	-72.73774                                                                                                                 
VT	5002548400	01462159	Newfane town	A	102981054	697246	39.761	0.269	42.972754	-72.704039                                                                                                                
VT	5002557700	01462181	Putney town	A	69044547	180757	26.658	0.07	42.995192	-72.52983                                                                                                                    
VT	5002560250	01462189	Rockingham town	A	107252404	2011206	41.41	0.777	43.170475	-72.506593                                                                                                             
VT	5002565762	01462211	Somerset town	I	65607721	5895000	25.331	2.276	42.991838	-72.971637                                                                                                               
VT	5002570750	01462221	Stratton town	A	119210165	1907452	46.027	0.736	43.077327	-72.918528                                                                                                              
VT	5002573300	01462229	Townshend town	A	109511616	1162294	42.283	0.449	43.069273	-72.68046                                                                                                              
VT	5002574800	01462234	Vernon town	A	50370905	1482157	19.448	0.572	42.764133	-72.522086                                                                                                                 
VT	5002576225	01462241	Wardsboro town	A	75685009	84589	29.222	0.033	43.019478	-72.812148                                                                                                                
VT	5002581400	01462253	Westminster town	A	116613916	669529	45.025	0.259	43.074683	-72.508057                                                                                                            
VT	5002583950	01462261	Whitingham town	A	95204651	6042643	36.759	2.333	42.780515	-72.869443                                                                                                             
VT	5002584700	01462264	Wilmington town	A	104766010	5204751	40.45	2.01	42.88102	-72.865581                                                                                                               
VT	5002584850	01462265	Windham town	A	67581474	211573	26.093	0.082	43.173802	-72.701358                                                                                                                 
VT	5002701300	01462026	Andover town	A	74720639	149987	28.85	0.058	43.292605	-72.722539                                                                                                                  
VT	5002702575	01462032	Baltimore town	A	12314212	23776	4.755	0.009	43.355597	-72.559359                                                                                                                 
